po_number,disputedAt,disputedReason,original_oeJobId,original_invoice_number,customerName,siteName,resolution_type,overrideNotes,discrepancy_status,discrepancy_type,item,expected_rate,billed_rate,difference_per_unit,gallons,discrepancy_value,overriddenAt,overriddenBy,archivedAt,replacedByJobId
PO48097,2025-11-25T12:57:11.926Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.376
4 Refuel Margin: $.75
Total Price Per Contract: $3.126
Vendor Billed: $3.2253

Difference: $.0993",OE00038872,1072516,US Foods Chef' Store,"CHEF'STORE Farmers Branch, TX",dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),3.2181,3.2253,0.0072,9.9,0.07128,,,,
PO48460,2025-11-25T02:34:23.058Z,Price discrepancy.,OE00038598,11512443,Carrix,PRS - Bethlehem - 2400 Commerce Center Blvd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.949,3.1371,0.1881,551.1,103.66190999999999,,,,
PO48453,2025-11-25T02:05:37.014Z,"Price is incorrect according to rfp. ",OE00038578,CFS-4441152,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.4036,4.08133,0.67773,82.5,55.912725,,,,
PO48453,2025-11-25T02:05:37.014Z,"Price is incorrect according to rfp. ",OE00038578,CFS-4441152,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.4036,4.08107,0.67747,93.5,63.343445,,,,
PO48453,2025-11-25T02:05:37.014Z,"Price is incorrect according to rfp. ",OE00038578,CFS-4441152,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.4036,4.0813,0.6777,54,36.5958,,,,
PO48449,2025-11-25T01:22:04.824Z,"Product price is incorrect. ",OE00038893,25-524220,Carrix,SSAT - Seattle - T18 CEM - 1359 SW Lander St,dispute_active,,disputed,price_discrepancy,Dyed- Ultra Low Sulfur with 99% Renewable Diesel (Non-Bio) - National,3.735,3.514504,-0.220496,535.7,-118.11970720000001,,,2025-11-25T04:48:04.206Z,OE00038894
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.8835,0.6247,40,24.988,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.88447,0.62567,10.3,6.444401,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.88384,0.62504,36.5,22.81396,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.91965,0.66085,185.2,122.38942,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.91948,0.66068,97,64.08596,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.88353,0.62473,68.6,42.856477999999996,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.88328,0.62448,34.1,21.294768,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.91972,0.66092,35.5,23.46266,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.88351,0.62471,123.1,76.90180099999999,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.88363,0.62483,89.8,56.109733999999996,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.91961,0.66081,35.7,23.590917,,,,
PO48446,2025-11-25T00:36:36.533Z,Please correct invoice.  Price per gallons should not fluctuate.  Labor cost was not included in RFP.,OE00038484,CFS-4434224,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2588,3.8835,0.6247,60,37.482,,,,
PO48440,2025-11-24T22:25:09.767Z,Minimum Gallons was based off of Diesel vs. Gas. Please issue C/R to correct. Missing Delivery Ticket.,OE00038450,27191458,Carrix,SSAT - Long Beach - Pier A - 700 Pier A Plaza,dispute_active,,disputed,price_discrepancy,Minimum Gallon Delivery Fee,270.92,218.19,-52.73,1,-52.73,,,,
PO48425,2025-11-24T21:19:54.300Z,"Please verify pricing.  Unit price should be the same for each asset.  Expected rate from Seattle OPIS plus .046 diff from bid should be 2.5352 per gallon. ",OE00038172,CFS-4432414,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.5352,705.33,702.7948,1,702.7948,,,,
PO48415,2025-11-24T19:42:08.110Z,"Dyed diesel should be priced off of Seattle.  Incorrect price billed.  Also, delivery ticket was not provided. ",OE00038343,25-518263,Carrix,SSAT - Seattle - T18 CEM - 1359 SW Lander St,dispute_active,,detected,price_discrepancy,Dyed- Ultra Low Sulfur with 99% Renewable Diesel (Non-Bio) - National,3.2923,3.292301,0.000001,1927.6,0.0019275999999999998,,,2025-11-24T21:01:12.711Z,OE00038877
PO48415,2025-11-24T19:42:08.110Z,"Dyed diesel should be priced off of Seattle.  Incorrect price billed.  Also, delivery ticket was not provided. ",OE00038343,25-518263,Carrix,SSAT - Seattle - T18 CEM - 1359 SW Lander St,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.2574,3.300303,0.042903,627.9,26.938793699999998,,,2025-11-24T21:01:12.711Z,OE00038877
PO48407,2025-11-24T17:18:53.411Z,"Clear Diesel-Gross Contract Average Unbranded For Tampa: $2.4321
Tropic Margin: $.25
Total Price Per Contract: $2.6821
Vendor Billed: $2.829197

Difference: $.147097",OE00038814,IN-978027-25,"Yoder's Eggs, Inc.",Sutter's Quality Foods/  Sarasota FL,dispute_active,,disputed,price_discrepancy,Clear Diesel #2 - ULS,2.6821,2.829197,0.147097,470.6,69.2238482,,,,
PO48398,2025-11-24T15:28:28.521Z,"Expected Delivery Fee Rate was $50 vs $200. Please issue Credit Rebill once correction is made. ",OE00037990,27177357,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Delivery Fee,50,200,150,1,150,,,,
PO48396,2025-11-24T14:19:19.132Z,Please provide Delivery Ticket. Pricing should have been $2.5052 vs. $2.524 that was billed. Please update and issue Credit Rebill,OE00037992,27168644,Carrix,PRS - Morrisville - 98 Cabot Blvd E,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.5052,2.524,0.0188,1607,30.2116,,,,
PO48396,2025-11-24T14:19:19.132Z,Please provide Delivery Ticket. Pricing should have been $2.5052 vs. $2.524 that was billed. Please update and issue Credit Rebill,OE00037992,27168644,Carrix,PRS - Morrisville - 98 Cabot Blvd E,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.5052,0.2757,-2.2295,1607,-3582.8064999999997,,,,
PO47841,2025-11-24T12:58:09.846Z,"Dyed Diesel-Gross Contract Average For Phoenix: $2.7078
Dill Margin: $.48
Total Price Per Contract: $3.1878
Vendor Billed: $3.2614

Difference: $.0736",OE00038403,11769,"Quality Technology Services, LLC (QTS)",PHX3-DC14,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1878,3.2614,0.0736,4866.6,358.18176,,,2025-11-24T17:01:27.816Z,OE00038843
PO47841,2025-11-24T12:58:09.846Z,"Dyed Diesel-Gross Contract Average For Phoenix: $2.7078
Dill Margin: $.48
Total Price Per Contract: $3.1878
Vendor Billed: $3.2614

Difference: $.0736",OE00038403,11769,"Quality Technology Services, LLC (QTS)",PHX3-DC14,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1878,3.2614,0.0736,1088.3,80.09888,,,2025-11-24T17:01:27.816Z,OE00038843
PO47556,2025-11-24T11:51:37.264Z,"Dyed Bio Diesel-Gross Contract Average For Portland: $2.6148
Ceco Margin: $.23
Total Price Per Contract: $2.8448
Vendor Billed: $4.3879

Difference: $1.5431",OE00038135,IN-1226239,"Quality Technology Services, LLC (QTS)",HIL2-DC2,dispute_active,,disputed,price_discrepancy,(5% BioDsl) - Red Dye Diesel #2 - ULS,2.8448,4.3879,1.5431,13.3,20.52323,,,,
PO47555,2025-11-24T11:45:50.997Z,"Dyed Bio Diesel-Gross Contract Average Unbranded For Portland: $2.4431
Ceco Margin: $.23
Total Price Per Contract: $2.6731
Vendor Billed: $4.3888

Difference: $1.7157",OE00038136,IN-1226238,"Quality Technology Services, LLC (QTS)",HIL2-DC5,dispute_active,,disputed,price_discrepancy,(5% BioDsl) - Red Dye Diesel #2 - ULS,2.6731,4.3888,1.7157,17.9,30.711029999999997,,,,
PO47557,2025-11-24T11:41:57.461Z,"Dyed Bio Diesel: Gross Contract Average Unbranded For Portland: $2.4431
Ceco Margin: $.23
Total Price Per Contract: $2.6731
Vendor Billed: $4.3892

Difference: $1.7161",OE00038134,IN-1226240,"Quality Technology Services, LLC (QTS)",HIL2-DC3,dispute_active,,disputed,price_discrepancy,(5% BioDsl) - Red Dye Diesel #2 - ULS,2.6731,4.3892,1.7161,25,42.902499999999996,,,,
PO48381,2025-11-24T02:13:04.563Z,Price should be the same for every line item.  Please verify if pricing was set up according to RFP.  Labor fee was not part of RFP.  Please provide a delivery ticket.,OE00037849,CFS-4432299,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7116,3.94282,1.23122,34.1,41.984602,,,,
PO48381,2025-11-24T02:13:04.563Z,Price should be the same for every line item.  Please verify if pricing was set up according to RFP.  Labor fee was not part of RFP.  Please provide a delivery ticket.,OE00037849,CFS-4432299,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7116,3.94328,1.23168,71.4,87.94195200000001,,,,
PO48381,2025-11-24T02:13:04.563Z,Price should be the same for every line item.  Please verify if pricing was set up according to RFP.  Labor fee was not part of RFP.  Please provide a delivery ticket.,OE00037849,CFS-4432299,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7116,3.94371,1.23211,16.7,20.576237,,,,
PO48381,2025-11-24T02:13:04.563Z,Price should be the same for every line item.  Please verify if pricing was set up according to RFP.  Labor fee was not part of RFP.  Please provide a delivery ticket.,OE00037849,CFS-4432299,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7116,3.94331,1.23171,68.8,84.741648,,,,
PO48376,2025-11-24T01:31:31.337Z,"Per Carrix invoice guidelines please separate invoices by product and date. This invoice is rejected. ",OE00037975,CFS-4432379,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7542,40,37.2458,1,37.2458,,,,
PO48376,2025-11-24T01:31:31.337Z,"Per Carrix invoice guidelines please separate invoices by product and date. This invoice is rejected. ",OE00037975,CFS-4432379,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7542,3.99287,1.23867,54.7,67.755249,,,,
PO48376,2025-11-24T01:31:31.337Z,"Per Carrix invoice guidelines please separate invoices by product and date. This invoice is rejected. ",OE00037975,CFS-4432379,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7542,3.992,1.2378,15,18.567,,,,
PO48376,2025-11-24T01:31:31.337Z,"Per Carrix invoice guidelines please separate invoices by product and date. This invoice is rejected. ",OE00037975,CFS-4432379,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7542,3.9927,1.2385,78.1,96.72684999999998,,,,
PO48376,2025-11-24T01:31:31.337Z,"Per Carrix invoice guidelines please separate invoices by product and date. This invoice is rejected. ",OE00037975,CFS-4432379,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.7542,3.99319,1.23899,38.2,47.329418000000004,,,,
PO48368,2025-11-23T21:52:36.491Z,"Per Carrix guidelines all invoices should be billed by product by date.  Please credit and rebill with multiple invoices.  Labor charges were not part of the rfp. ",OE00037527,CFS-4430842,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,disputed,unexpected_line_item,LABOR Labor,0,180,180,1,180,,,,
PO48368,2025-11-23T21:52:36.491Z,"Per Carrix guidelines all invoices should be billed by product by date.  Please credit and rebill with multiple invoices.  Labor charges were not part of the rfp. ",OE00037527,CFS-4430842,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,disputed,unexpected_line_item,MFDYED - DSL #2 Dyed,0,6692.64,6692.64,1,6692.64,,,,
PO48368,2025-11-23T21:52:36.491Z,"Per Carrix guidelines all invoices should be billed by product by date.  Please credit and rebill with multiple invoices.  Labor charges were not part of the rfp. ",OE00037527,CFS-4430842,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,detected,missing_line_item,Red Dye Diesel #2 - ULS,5165.180399999999,0,-5165.180399999999,1919,-9911981.187599998,,,,
PO48366,2025-11-23T21:34:08.396Z,"Please review invoice.  Per schedule A total diff should be in freight, which should be .35.  No diff in product.  Remove fuel surcharge and add $50 delivery fee. ",OE00037828,27151802,Carrix,SSA Gulf - Panama City - 1836 Ave A,dispute_active,,disputed,unexpected_line_item,Surcharge,0,18.58,18.58,1,18.58,,,,
PO48366,2025-11-23T21:34:08.396Z,"Please review invoice.  Per schedule A total diff should be in freight, which should be .35.  No diff in product.  Remove fuel surcharge and add $50 delivery fee. ",OE00037828,27151802,Carrix,SSA Gulf - Panama City - 1836 Ave A,dispute_active,,detected,missing_line_item,Delivery Fee,50,0,-50,1,-50,,,,
PO48366,2025-11-23T21:34:08.396Z,"Please review invoice.  Per schedule A total diff should be in freight, which should be .35.  No diff in product.  Remove fuel surcharge and add $50 delivery fee. ",OE00037828,27151802,Carrix,SSA Gulf - Panama City - 1836 Ave A,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.4887,2.6426,0.1539,660,101.57400000000001,,,,
PO48366,2025-11-23T21:34:08.396Z,"Please review invoice.  Per schedule A total diff should be in freight, which should be .35.  No diff in product.  Remove fuel surcharge and add $50 delivery fee. ",OE00037828,27151802,Carrix,SSA Gulf - Panama City - 1836 Ave A,dispute_active,,disputed,price_discrepancy,Freight Charge Diesel,0.35,0.3595,0.0095,660,6.27,,,,
PO48364,2025-11-23T21:03:54.933Z,"Price should be 3.108.  Please correct. ",OE00038242,10118000,Carrix,"Portside Cargo Services II, LLC - 4884 Old Louisville Rd",dispute_active,,disputed,price_discrepancy,(0%-5% BioDsl) - Red Dye Diesel #2 - ULS,3.108,3.13,0.022,752,16.544,,,,
PO48363,2025-11-23T20:27:05.769Z,"Price per gallon should be 3.09.  Please correct and resubmit. Also please make sure to send delivery tickets with invoices. ",OE00038129,1011799,Carrix,"Portside Cargo Services II, LLC - 4884 Old Louisville Rd",dispute_active,,disputed,price_discrepancy,Clear Diesel #2 - ULS,3.09,3.1,0.01,822,8.22,,,,
PO48336,2025-11-23T20:08:29.295Z,"Please resolve discrepancy.  Schedule A indicates .38 total diff that should be in the freight rate fee.  Per Mansfield no diff should be in the product.  Also, missing $50 delivery fee. ",OE00037831,27142378,Carrix,LSI - Columbus - 1864 Port Access Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.4409,2.5026,0.0617,889,54.851299999999995,,,,
PO48360,2025-11-23T17:36:26.507Z,Please verify pricing feed and set up.  Is the OPIS city El Paso or Albuquerque.  Also freight rate is incorrect.  Schedule A shows .2657 freight rate plus a $50 fee.  Please verify if freight rate should be is in product differential or freight line item.,OE00038103,27128995,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,detected,missing_line_item,Delivery Fee,50,0,-50,1,-50,,,,
PO48360,2025-11-23T17:36:26.507Z,Please verify pricing feed and set up.  Is the OPIS city El Paso or Albuquerque.  Also freight rate is incorrect.  Schedule A shows .2657 freight rate plus a $50 fee.  Please verify if freight rate should be is in product differential or freight line item.,OE00038103,27128995,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,87 Unleaded (w/10% Eth),1.9456,2.6438,0.6982,230,160.586,,,,
PO48360,2025-11-23T17:36:26.507Z,Please verify pricing feed and set up.  Is the OPIS city El Paso or Albuquerque.  Also freight rate is incorrect.  Schedule A shows .2657 freight rate plus a $50 fee.  Please verify if freight rate should be is in product differential or freight line item.,OE00038103,27128995,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Freight Charge Gas,0.2657,0.217391,-0.048309,230,-11.11107,,,,
PO48358,2025-11-23T16:53:58.223Z,"Invoice CFS-4413024 is invalid.  Please credit and rebill.  Invoices should be billed by product and by date.  Not by week or month.  Also, labor charges were not on the RFP.",OE00037015,CFS-4413024,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,disputed,unexpected_line_item,LABOR Labor,0,260,260,4,1040,,,,
PO48358,2025-11-23T16:53:58.223Z,"Invoice CFS-4413024 is invalid.  Please credit and rebill.  Invoices should be billed by product and by date.  Not by week or month.  Also, labor charges were not on the RFP.",OE00037015,CFS-4413024,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,disputed,unexpected_line_item,MFDYED - DSL #2 Dyed,0,11809.41,11809.41,3283.7,38778559.617,,,,
PO48358,2025-11-23T16:53:58.223Z,"Invoice CFS-4413024 is invalid.  Please credit and rebill.  Invoices should be billed by product and by date.  Not by week or month.  Also, labor charges were not on the RFP.",OE00037015,CFS-4413024,Carrix,RTS - Seattle - 4700 Denver Ave S,dispute_active,,detected,missing_line_item,Red Dye Diesel #2 - ULS,9402.7922,0,-9402.7922,3287,-30906977.9614,,,,
PO48005,2025-11-21T17:43:30.856Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.5444
$ Refuel Margin: $.275
Total Price Per Contract: $2.8194
Vendor Billed: $2.896

Difference: $.0766",OE00038582,1072161,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.896,2.9032,0.0072,3737,26.906399999999998,,,,
PO47793,2025-11-20T13:17:28.622Z,"Dyed Diesel-Gross Contract Average For North Augusta: $2.5533
Colonial Margin: $.45
Total Price Per Contract: $2.9033
Vendor Billed: $2.9425

Difference: $.0392",OE00038567,IN-1670748,"Lazer Spot, Inc.","Kimberly Clark - Site 100135 - Beech Island, SC",dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.9033,2.9425,0.0392,1800.7,70.58744,,,,
PO47823,2025-11-20T12:16:33.962Z,"Dyed Diesel-Gross Contract Average Unbranded Fpr Pensacola: $2.8487
Davison Margin: $.75
Total Price Per Contract: $3.5987
Vendor Billed: $3.352

Difference: $-.2467",OE00038434,INV-941043,"US Framing International, LLC","ABACO  - Orange Beach, AL, PO# EQ25-064-ABC-9/17",dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.5987,3.352,-0.2467,400,-98.68,,,2025-11-20T21:30:59.708Z,OE00038707
PO48016,2025-11-17T19:47:44.389Z,"Expected Price was $2.9592 vs. Billed Price at $2.9476. Please Credit Rebill to correct discrepancy. ",OE00037438,11484102,Carrix,PRS - Bethlehem - 2400 Commerce Center Blvd,dispute_active,,detected,unexpected_line_item,Regulatory Compliance Charge (Commercial),0,14.99,14.99,1,14.99,,,2025-11-19T13:16:00.040Z,OE00038510
PO48016,2025-11-17T19:47:44.389Z,"Expected Price was $2.9592 vs. Billed Price at $2.9476. Please Credit Rebill to correct discrepancy. ",OE00037438,11484102,Carrix,PRS - Bethlehem - 2400 Commerce Center Blvd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.9592,2.9476,-0.0116,472,-5.475199999999999,,,2025-11-19T13:16:00.040Z,OE00038510
PO48010,2025-11-17T17:31:31.144Z,"Expected Rate was $2.7612 vs. Billed Rate of $2.754. Please issue a Credit Rebill to correct Pricing Error. ",OE00037396,RO274137,Carrix,PRS - Roselake - 3900 Roselake Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel (Winter) - ULS,2.7612,2.754,-0.0072,987.9,-7.11288,,,2025-11-17T23:02:09.129Z,OE00038428
PO47683,2025-11-17T16:16:49.801Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.4867
4 Refuel Margin: $.0275
Total Price Per Contract: $2.7617
Vendor Billed: $2.8374

Difference: $.0757",OE00037793,1071688,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),2.7617,2.8446,0.0829,1499.7,124.32513,,,,
PO47683,2025-11-17T16:16:49.801Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.4867
4 Refuel Margin: $.0275
Total Price Per Contract: $2.7617
Vendor Billed: $2.8374

Difference: $.0757",OE00037793,1071688,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),2.7617,2.8446,0.0829,986,81.7394,,,,
PO47683,2025-11-17T16:16:49.801Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.4867
4 Refuel Margin: $.0275
Total Price Per Contract: $2.7617
Vendor Billed: $2.8374

Difference: $.0757",OE00037793,1071688,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),2.7617,2.8446,0.0829,1400,116.06,,,,
PO47683,2025-11-17T16:16:49.801Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.4867
4 Refuel Margin: $.0275
Total Price Per Contract: $2.7617
Vendor Billed: $2.8374

Difference: $.0757",OE00037793,1071688,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),2.7617,2.8446,0.0829,1900,157.51,,,,
PO47683,2025-11-17T16:16:49.801Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.4867
4 Refuel Margin: $.0275
Total Price Per Contract: $2.7617
Vendor Billed: $2.8374

Difference: $.0757",OE00037793,1071688,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),2.7617,2.8446,0.0829,892.7,74.00483,,,,
PO47683,2025-11-17T16:16:49.801Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.4867
4 Refuel Margin: $.0275
Total Price Per Contract: $2.7617
Vendor Billed: $2.8374

Difference: $.0757",OE00037793,1071688,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),2.7737,2.8446,0.0709,1994,141.37460000000002,,,,
PO47683,2025-11-17T16:16:49.801Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.4867
4 Refuel Margin: $.0275
Total Price Per Contract: $2.7617
Vendor Billed: $2.8374

Difference: $.0757",OE00037793,1071688,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),2.7617,2.8446,0.0829,1400,116.06,,,,
PO47683,2025-11-17T16:16:49.801Z,"Dyed Diesel-Gross Contract Average Unbranded For Dallas: $2.4867
4 Refuel Margin: $.0275
Total Price Per Contract: $2.7617
Vendor Billed: $2.8374

Difference: $.0757",OE00037793,1071688,"Quality Technology Services, LLC (QTS)",DFW1-DC6,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS (Texas),2.7617,2.8446,0.0829,1896.7,157.23643,,,,
PO48004,2025-11-17T16:07:23.114Z,"Expected Pricing was $2.949 vs. Billed Pricing of $3.0673. Please issue a Credit Rebill to correct pricing error. ",OE00038116,11494695,Carrix,PRS - Bethlehem - 2400 Commerce Center Blvd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.949,3.0673,0.1183,500,59.15,,,,
PO48003,2025-11-17T15:58:39.640Z,"Expected Pricing was $2.949 vs. $3.0673 Billed. Please issue a Credit Rebill to correct pricing error. ",OE00038118,11501090,Carrix,PRS - Bethlehem - 2400 Commerce Center Blvd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.949,3.0673,0.1183,654.8,77.46284,,,,
PO47654,2025-11-17T15:31:36.961Z,"Clear Diesel-Gross Contract Average Unbranded For Austin: $2.4519
4 Refuel Margin: $.50
Total Price Per Contract: $2.9519
Vendor Billed: $3.0338

Difference: $.0819",OE00037788,468144,"Digital Realty Trust, LP",AUS11,dispute_active,,disputed,price_discrepancy,Clear Diesel #2 - ULS (Texas),2.9519,3.484,0.5321,666,354.3786,,,,
